case,key,year,source,courtlistener_cluster_id,external_file,case_name
Warner Bros. v. CBS,warner-216-f2d-945,1955,courtlistener,1965764,,
Warner Bros. v. CBS,warner-216-f2d-945,1958,courtlistener,1396060,,
Warner Bros. v. CBS,warner-216-f2d-945,1958,courtlistener,1457108,,
Warner Bros. v. CBS,warner-216-f2d-945,1958,courtlistener,1952568,,
Warner Bros. v. CBS,warner-216-f2d-945,1959,courtlistener,1485175,,
Warner Bros. v. CBS,warner-216-f2d-945,1963,courtlistener,1428889,,
Warner Bros. v. CBS,warner-216-f2d-945,1965,courtlistener,2145392,,
Warner Bros. v. CBS,warner-216-f2d-945,1965,courtlistener,271137,,
Warner Bros. v. CBS,warner-216-f2d-945,1967,courtlistener,275847,,
Warner Bros. v. CBS,warner-216-f2d-945,1970,courtlistener,289823,,
Warner Bros. v. CBS,warner-216-f2d-945,1972,courtlistener,1891375,,
Warner Bros. v. CBS,warner-216-f2d-945,1974,courtlistener,1371054,,
Warner Bros. v. CBS,warner-216-f2d-945,1975,courtlistener,1560065,,
Warner Bros. v. CBS,warner-216-f2d-945,1977,courtlistener,1953292,,
Warner Bros. v. CBS,warner-216-f2d-945,1978,courtlistener,358756,,
Warner Bros. v. CBS,warner-216-f2d-945,1979,courtlistener,1431414,,
Warner Bros. v. CBS,warner-216-f2d-945,1980,courtlistener,1579320,,
Warner Bros. v. CBS,warner-216-f2d-945,1980,courtlistener,2132235,,
Warner Bros. v. CBS,warner-216-f2d-945,1984,courtlistener,1817034,,
Warner Bros. v. CBS,warner-216-f2d-945,1984,courtlistener,2138301,,
Warner Bros. v. CBS,warner-216-f2d-945,1985,courtlistener,457951,,
Warner Bros. v. CBS,warner-216-f2d-945,1988,courtlistener,511002,,
Warner Bros. v. CBS,warner-216-f2d-945,1988,courtlistener,8972023,,
Warner Bros. v. CBS,warner-216-f2d-945,1990,courtlistener,1479690,,
Warner Bros. v. CBS,warner-216-f2d-945,1991,courtlistener,575828,,
Warner Bros. v. CBS,warner-216-f2d-945,1995,courtlistener,2262232,,
Warner Bros. v. CBS,warner-216-f2d-945,1996,courtlistener,715381,,
Warner Bros. v. CBS,warner-216-f2d-945,1997,courtlistener,1804030,,
Warner Bros. v. CBS,warner-216-f2d-945,1997,courtlistener,2460620,,
Warner Bros. v. CBS,warner-216-f2d-945,1998,courtlistener,7065038,,
Warner Bros. v. CBS,warner-216-f2d-945,2001,courtlistener,2567910,,
Warner Bros. v. CBS,warner-216-f2d-945,2003,courtlistener,782176,,
Warner Bros. v. CBS,warner-216-f2d-945,2003,courtlistener,8437479,,
Warner Bros. v. CBS,warner-216-f2d-945,2004,courtlistener,2996831,,
Warner Bros. v. CBS,warner-216-f2d-945,2004,courtlistener,785344,,
Warner Bros. v. CBS,warner-216-f2d-945,2007,courtlistener,2327947,,
Warner Bros. v. CBS,warner-216-f2d-945,2008,courtlistener,1225530,,
Warner Bros. v. CBS,warner-216-f2d-945,2008,courtlistener,2476031,,
Warner Bros. v. CBS,warner-216-f2d-945,2010,courtlistener,2151583,,
Warner Bros. v. CBS,warner-216-f2d-945,2013,courtlistener,8730548,,
