case,key,year,in_courtlistener,outside_courtlistener,total
Warner Bros. v. CBS,warner-216-f2d-945,1954,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1955,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1956,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1957,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1958,3,0,3
Warner Bros. v. CBS,warner-216-f2d-945,1959,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1960,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1961,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1962,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1963,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1964,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1965,2,0,2
Warner Bros. v. CBS,warner-216-f2d-945,1966,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1967,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1968,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1969,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1970,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1971,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1972,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1973,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1974,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1975,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1976,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1977,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1978,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1979,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1980,2,0,2
Warner Bros. v. CBS,warner-216-f2d-945,1981,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1982,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1983,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1984,2,0,2
Warner Bros. v. CBS,warner-216-f2d-945,1985,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1986,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1987,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1988,2,0,2
Warner Bros. v. CBS,warner-216-f2d-945,1989,0,1,1
Warner Bros. v. CBS,warner-216-f2d-945,1990,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1991,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1992,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1993,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1994,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,1995,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1996,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1997,2,0,2
Warner Bros. v. CBS,warner-216-f2d-945,1998,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,1999,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,2000,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,2001,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,2002,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,2003,2,0,2
Warner Bros. v. CBS,warner-216-f2d-945,2004,2,0,2
Warner Bros. v. CBS,warner-216-f2d-945,2005,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,2006,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,2007,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,2008,2,0,2
Warner Bros. v. CBS,warner-216-f2d-945,2009,0,1,1
Warner Bros. v. CBS,warner-216-f2d-945,2010,1,0,1
Warner Bros. v. CBS,warner-216-f2d-945,2011,0,1,1
Warner Bros. v. CBS,warner-216-f2d-945,2012,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,2013,1,1,2
Warner Bros. v. CBS,warner-216-f2d-945,2014,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,2015,1,1,2
Warner Bros. v. CBS,warner-216-f2d-945,2016,0,1,1
Warner Bros. v. CBS,warner-216-f2d-945,2017,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,2018,1,1,2
Warner Bros. v. CBS,warner-216-f2d-945,2019,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,2020,1,2,3
Warner Bros. v. CBS,warner-216-f2d-945,2021,0,1,1
Warner Bros. v. CBS,warner-216-f2d-945,2022,0,1,1
Warner Bros. v. CBS,warner-216-f2d-945,2023,0,1,1
Warner Bros. v. CBS,warner-216-f2d-945,2024,0,1,1
Warner Bros. v. CBS,warner-216-f2d-945,2025,0,0,0
Warner Bros. v. CBS,warner-216-f2d-945,2026,0,0,0
Air Pirates,air-pirates-581-f2d-751,1978,0,0,0
Air Pirates,air-pirates-581-f2d-751,1979,7,0,7
Air Pirates,air-pirates-581-f2d-751,1980,8,0,8
Air Pirates,air-pirates-581-f2d-751,1981,6,0,6
Air Pirates,air-pirates-581-f2d-751,1982,9,0,9
Air Pirates,air-pirates-581-f2d-751,1983,9,0,9
Air Pirates,air-pirates-581-f2d-751,1984,3,0,3
Air Pirates,air-pirates-581-f2d-751,1985,5,0,5
Air Pirates,air-pirates-581-f2d-751,1986,8,0,8
Air Pirates,air-pirates-581-f2d-751,1987,2,0,2
Air Pirates,air-pirates-581-f2d-751,1988,7,0,7
Air Pirates,air-pirates-581-f2d-751,1989,1,1,2
Air Pirates,air-pirates-581-f2d-751,1990,1,0,1
Air Pirates,air-pirates-581-f2d-751,1991,4,0,4
Air Pirates,air-pirates-581-f2d-751,1992,4,0,4
Air Pirates,air-pirates-581-f2d-751,1993,3,0,3
Air Pirates,air-pirates-581-f2d-751,1994,2,0,2
Air Pirates,air-pirates-581-f2d-751,1995,2,0,2
Air Pirates,air-pirates-581-f2d-751,1996,2,0,2
Air Pirates,air-pirates-581-f2d-751,1997,3,0,3
Air Pirates,air-pirates-581-f2d-751,1998,2,0,2
Air Pirates,air-pirates-581-f2d-751,1999,2,0,2
Air Pirates,air-pirates-581-f2d-751,2000,0,0,0
Air Pirates,air-pirates-581-f2d-751,2001,3,0,3
Air Pirates,air-pirates-581-f2d-751,2002,1,0,1
Air Pirates,air-pirates-581-f2d-751,2003,1,0,1
Air Pirates,air-pirates-581-f2d-751,2004,2,1,3
Air Pirates,air-pirates-581-f2d-751,2005,1,0,1
Air Pirates,air-pirates-581-f2d-751,2006,1,0,1
Air Pirates,air-pirates-581-f2d-751,2007,2,0,2
Air Pirates,air-pirates-581-f2d-751,2008,2,0,2
Air Pirates,air-pirates-581-f2d-751,2009,2,1,3
Air Pirates,air-pirates-581-f2d-751,2010,2,0,2
Air Pirates,air-pirates-581-f2d-751,2011,1,1,2
Air Pirates,air-pirates-581-f2d-751,2012,1,0,1
Air Pirates,air-pirates-581-f2d-751,2013,1,1,2
Air Pirates,air-pirates-581-f2d-751,2014,1,0,1
Air Pirates,air-pirates-581-f2d-751,2015,1,0,1
Air Pirates,air-pirates-581-f2d-751,2016,1,0,1
Air Pirates,air-pirates-581-f2d-751,2017,0,0,0
Air Pirates,air-pirates-581-f2d-751,2018,0,1,1
Air Pirates,air-pirates-581-f2d-751,2019,1,1,2
Air Pirates,air-pirates-581-f2d-751,2020,1,0,1
Air Pirates,air-pirates-581-f2d-751,2021,0,1,1
Air Pirates,air-pirates-581-f2d-751,2022,0,0,0
Air Pirates,air-pirates-581-f2d-751,2023,0,0,0
Air Pirates,air-pirates-581-f2d-751,2024,1,0,1
Air Pirates,air-pirates-581-f2d-751,2025,1,0,1
Air Pirates,air-pirates-581-f2d-751,2026,0,0,0
Olson v. NBC,olson-855-f2d-1446,1988,0,0,0
Olson v. NBC,olson-855-f2d-1446,1989,2,1,3
Olson v. NBC,olson-855-f2d-1446,1990,3,0,3
Olson v. NBC,olson-855-f2d-1446,1991,1,0,1
Olson v. NBC,olson-855-f2d-1446,1992,1,0,1
Olson v. NBC,olson-855-f2d-1446,1993,2,0,2
Olson v. NBC,olson-855-f2d-1446,1994,1,0,1
Olson v. NBC,olson-855-f2d-1446,1995,1,0,1
Olson v. NBC,olson-855-f2d-1446,1996,1,0,1
Olson v. NBC,olson-855-f2d-1446,1997,1,0,1
Olson v. NBC,olson-855-f2d-1446,1998,1,0,1
Olson v. NBC,olson-855-f2d-1446,1999,0,0,0
Olson v. NBC,olson-855-f2d-1446,2000,0,0,0
Olson v. NBC,olson-855-f2d-1446,2001,2,0,2
Olson v. NBC,olson-855-f2d-1446,2002,1,0,1
Olson v. NBC,olson-855-f2d-1446,2003,2,0,2
Olson v. NBC,olson-855-f2d-1446,2004,2,0,2
Olson v. NBC,olson-855-f2d-1446,2005,0,0,0
Olson v. NBC,olson-855-f2d-1446,2006,1,1,2
Olson v. NBC,olson-855-f2d-1446,2007,2,1,3
Olson v. NBC,olson-855-f2d-1446,2008,3,0,3
Olson v. NBC,olson-855-f2d-1446,2009,1,0,1
Olson v. NBC,olson-855-f2d-1446,2010,4,0,4
Olson v. NBC,olson-855-f2d-1446,2011,4,1,5
Olson v. NBC,olson-855-f2d-1446,2012,0,0,0
Olson v. NBC,olson-855-f2d-1446,2013,1,2,3
Olson v. NBC,olson-855-f2d-1446,2014,1,1,2
Olson v. NBC,olson-855-f2d-1446,2015,2,1,3
Olson v. NBC,olson-855-f2d-1446,2016,2,1,3
Olson v. NBC,olson-855-f2d-1446,2017,0,1,1
