year	case	court	cl_opinion_text	cl_reporter_cite	found_by	note
1955	Loew's v. CBS	S.D. Cal.	yes	131 F. Supp. 165	scan	
1958	Harms v. Tops Music	S.D. Cal.	yes	160 F. Supp. 77	scan	
1958	McIntyre v. Double-A Music	S.D. Cal.	yes	166 F. Supp. 681	scan	"prints ""216 F. 2d 945"""
1958	Stern v. United States	E.D. La.	yes	164 F. Supp. 847	scan	"tax; ""compares"""
1959	Schwartz v. Broadcast Music	S.D.N.Y.	yes	180 F. Supp. 322	scan	
1963	Holdredge v. Knight Publishing	S.D. Cal.	yes	214 F. Supp. 921	scan	
1965	Davis v. DuPont	S.D.N.Y.	yes	240 F. Supp. 612	scan	
1965	Gordon v. Youmans	2d Cir.	yes	358 F.2d 261	scan	dissent, name only
1967	CBS v. DeCosta	1st Cir.	yes	377 F.2d 315	scan	
1970	Goodis v. United Artists	2d Cir.	yes	425 F.2d 397	scan	
1972	Walt Disney v. Air Pirates	N.D. Cal.	yes	345 F. Supp. 108	scan	
1974	Landon v. Twentieth Century-Fox	S.D.N.Y.	yes	384 F. Supp. 450	scan	
1975	Warner Bros. v. Film Ventures	C.D. Cal.	yes	403 F. Supp. 522	scan	
1977	Ideal Toy v. Kenner	S.D.N.Y.	yes	443 F. Supp. 291	scan	
1978	Walt Disney v. Air Pirates	9th Cir.	yes	581 F.2d 751	scan	
1979	Lugosi v. Universal	Cal.	yes	25 Cal. 3d 813	scan	
1980	Hospital for Sick Children v. Melody Fare	E.D. Va.	yes	516 F. Supp. 67	scan	
1980	KGB v. Giannoulas	Cal. Ct. App.	yes	104 Cal. App. 3d 844	scan	
1984	Pellegrino v. American Greetings	D.S.D.	yes	592 F. Supp. 459	scan	
1984	Trust Co. Bank v. MGM/UA	N.D. Ga.	yes	593 F. Supp. 580	scan	
1985	Trust Co. Bank v. MGM/UA	11th Cir.	yes	772 F.2d 740	scan	
1985	Burnett v. Warner Bros.	N.Y. App. Div.	yes	113 A.D.2d 710	scholar	216 F2d 945; CL map unlinked
1988	Olson v. NBC	9th Cir.	yes	855 F.2d 1446	scan	two CL copies
1990	Klinger v. Weekly World News	S.D. Fla.	yes	747 F. Supp. 1477	scan	
1991	Wright v. Warner Books	2d Cir.	yes	953 F.2d 731	scan	
1995	MGM v. American Honda	C.D. Cal.	yes	900 F. Supp. 1287	scan	
1996	Leisure Time Entertainment v. Cal Vista	9th Cir.	yes	79 F.3d 1153 (table)	scan	"unpublished memo (Browning, Wallace, Farris), Rule 36-3; table cite only. Prop. B at 949: ""The clearest language is necessary to divest the author of the fruits of his labor"" — rights not expressly granted are reserved. Contract case (adult-film distribution rights); no character question. Tagged 2026-09-14."
1997	Chase-Riboud v. Dreamworks	C.D. Cal.	yes	987 F. Supp. 1222	scan	
1997	Jim Henson Productions v. Brady	S.D.N.Y.	yes	16 F. Supp. 2d 259	scan	
1998	Boosey & Hawkes v. Walt Disney	2d Cir.	yes	145 F.3d 481	scan	
2000	Caldwell v. ABKCO	N.Y. App. Div.	yes	269 A.D.2d 206	scholar	216 F2d 945; CL map unlinked
2001	Rice v. Fox Broadcasting	C.D. Cal.	yes	148 F. Supp. 2d 1029	scan	
2002	Greenfield v. Philles Records	N.Y.	yes	98 N.Y.2d 562	scholar	216 F2d 945; CL map unlinked
2003	Rice v. Fox Broadcasting	9th Cir.	yes	330 F.3d 1170	scan	two CL copies
2004	Gaiman v. McFarlane	7th Cir.	yes	360 F.3d 644	scan	two CL copies
2007	Bach v. Forever Living Products	W.D. Wash.	yes	473 F. Supp. 2d 1127	scan	
2008	Fleischer Studios v. A.V.E.L.A.	C.D. Cal.	yes	772 F. Supp. 2d 1135	scan	
2008	Halicki Films v. Sanderson	9th Cir.	yes	547 F.3d 1213	scan	
2010	Bernal v. Paradigm Talent	C.D. Cal.	yes	788 F. Supp. 2d 1043	scan	
2013	DC Comics v. Towle	C.D. Cal.	yes	989 F. Supp. 2d 948	scan	
2015	DC Comics v. Towle	9th Cir.	yes	802 F.3d 1012	scan	
2015	Gallagher v. Lions Gate	C.D. Cal.	no	none	scholar	order in RECAP (Doc. 27), not in CL opinions
2016	Creazioni Artistiche Musicali v. Carlin America	S.D.N.Y.	no	none	scholar	"order in RECAP (Doc. 53); OCR ""2 16 F.2d 945"""
2018	Conan Properties v. Sanchez	E.D.N.Y.	no	none	scholar	govinfo
2018	Creazioni Artistiche Musicali v. Carlin America	2d Cir.	yes	none	scan	unpublished summary order; CL holds no cite
2020	Daniels v. Walt Disney	9th Cir.	yes	958 F.3d 767	scan	original 952 F.3d 1149 + amended
2020	Kihn v. Bill Graham Archives	N.D. Cal.	no	none (445 F. Supp. 3d 234 exists)	scholar	govinfo; published, CL lacks it
2020	Ricketts v. CBS (ECF 125)	C.D. Cal.	no	none	westlaw	PACER pull 09-14
2021	Clancy v. Jack Ryan Enterprises	D. Md.	no	none	scholar	govinfo
2022	ZAG America v. Harasymets (ECF 34)	C.D. Cal.	no	none	westlaw	PACER pull 09-14
2023	Gilbert-Daniels v. Lions Gate (ECF 133)	C.D. Cal.	no	none	westlaw	PACER pull 09-14
2024	Biani v. Showtime (ECF 23)	C.D. Cal.	no	none	westlaw	free from RECAP
1989	Anderson v. Stallone	C.D. Cal.	no	none (11 U.S.P.Q.2d 1161; 1989 WL 206431)	westlaw	"text in hand 2026-09-14 from H2O/opencasebook (CopyrightX); on-point A+A′: ""not been explicitly overruled"", applies both tests, Rocky characters ""constituted the story being told"". West label ""among conflicting authorities""."
2009	McCormick v. Sony Pictures (ECF 126)	C.D. Cal.	no	none	westlaw	"PACER pull 09-14, 33-p MSJ order; Warner appears ONLY inside a Chase-Riboud parenthetical (A recited, then ""Nevertheless""); line-broken cite ""216 / F.2d 945"" defeats the regex"
2011	Summit Entertainment v. B.B. Dakota (ECF 149)	C.D. Cal.	no	none	westlaw	free from RECAP (doc 928953), 39 pp MSJ order; cites Warner at 949 for prop. B (grant construed against licensee), not on-point for characters
2013	Braddock v. Jolie (ECF 96)	C.D. Cal.	no	none	westlaw	"PACER pull 09-14, 19-p order on judgment on the pleadings; Warner only as ""(citing Warner...)"" behind Bernal 2010 for prop. A; West label ""Mentioned"""
